[2022-12-17 13:14:49,956][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   36.34400000  1.18981679   33.00000000   41.00000000     1000
sample             num_guess   36.37600000  1.19692272   33.00000000   41.00000000     1000
sample           num_correct   36.36000000  1.18591737   33.00000000   41.00000000     1000
sample          correct_rate    0.99957577  0.00354109    0.94594595    1.00000000     1000
sample              bandwith    0.22735000  0.00748077    0.20625000    0.25625000     1000
sample        cyclone_attack    0.33800000  0.47302854    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99956015  0.00000000    0.99956015    0.99956015        1
sample      overall_bandwith    0.22735000  0.00000000    0.22735000    0.22735000        1

