[2022-12-17 12:20:28,125][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   36.02200000  1.64788228   29.00000000   40.00000000     1000
sample             num_guess   36.55800000  1.21681387   33.00000000   40.00000000     1000
sample           num_correct   36.29000000  1.31297372   32.00000000   40.00000000     1000
sample          correct_rate    0.99271030  0.01665582    0.89473684    1.00000000     1000
sample              bandwith    0.22848750  0.00760509    0.20625000    0.25000000     1000
sample          max_autocorr    0.93764380  0.04601462    0.70833333    1.00000000     1000
sample      detect_rate-0.75    0.99600000  0.06311894    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99266918  0.00000000    0.99266918    0.99266918        1
sample      overall_bandwith    0.22848750  0.00000000    0.22848750    0.22848750        1

