[2022-12-17 13:38:34,021][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   26.44200000  4.81192643  -76.00000000   32.00000000     1000
sample             num_guess   26.76600000  1.50041461   22.00000000   43.00000000     1000
sample           num_correct   26.70400000  1.39154015   22.00000000   32.00000000     1000
sample          correct_rate    0.99804324  0.01696632    0.53488372    1.00000000     1000
sample              bandwith    0.16728750  0.00937759    0.13750000    0.26875000     1000
sample        cyclone_attack    0.00200000  0.04467662    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99768363  0.00000000    0.99768363    0.99768363        1
sample      overall_bandwith    0.16728750  0.00000000    0.16728750    0.16728750        1

