[2022-05-12 15:30:24,060][root][INFO] - {"env_config": {"length_violation_reward": -2.0, "double_victim_access_reward": 0.0, "victim_access_reward": 0.0, "victim_miss_reward": 0.0, "correct_reward": 1.0, "wrong_reward": -1.0, "step_reward": 0.0, "cache_state_reset": false, "reset_observation": false, "verbose": 0, "force_victim_hit": false, "flush_inst": false, "allow_victim_multi_access": true, "allow_empty_victim_access": false, "attacker_addr_s": 4, "attacker_addr_e": 7, "victim_addr_s": 0, "victim_addr_e": 3, "reset_limit": 1, "cache_configs": {"architecture": {"word_size": 1, "block_size": 1, "write_back": true}, "cache_1": {"blocks": 4, "associativity": 1, "hit_time": 1, "rep_policy": "lru"}, "mem": {"hit_time": 1000}}, "window_size": 164, "episode_length": 160, "cc_hunter_check_length": 8, "threshold": 0.5, "cc_hunter_coeff": 0.0}, "model_config": {"latency_dim": 3, "victim_acc_dim": 2, "action_dim": 64, "step_dim": 164, "window_size": 164, "action_embed_dim": 16, "step_embed_dim": 4, "hidden_dim": 128, "output_dim": -1, "num_layers": 1}, "m_server_name": "m_server", "m_server_addr": "127.0.0.1:4411", "r_server_name": "r_server", "r_server_addr": "127.0.0.1:4412", "c_server_name": "c_server", "c_server_addr": "127.0.0.1:4413", "train_device": "cuda:0", "infer_device": "cuda:1", "num_train_rollouts": 24, "num_train_workers": 24, "num_eval_rollouts": 2, "num_eval_workers": 2, "replay_buffer_size": 131072, "prefetch": 2, "batch_size": 512, "lr": 0.0003, "learning_starts": 65536, "push_every_n_steps": 10, "num_epochs": 3000, "steps_per_epoch": 3000, "num_eval_episodes": 100, "train_seed": 123, "eval_seed": 456, "table_view": true}
[2022-05-12 15:34:14,309][root][INFO] - 

     info                  key          mean          std           min           max    count
---------  -------------------  ------------  -----------  ------------  ------------  -------
T Epoch 0               return   -0.48773594   0.46879311   -1.33834469   -0.08600506     3000
T Epoch 0         policy_ratio    1.00000260   0.00793004    0.96716392    1.03244185     3000
T Epoch 0          policy_loss   -0.00602174   0.00939697   -0.04589908    0.02785079     3000
T Epoch 0           value_loss    0.03910496   0.08219919    0.00011554    0.54010165     3000
T Epoch 0              entropy    1.75003260   0.22254906    1.50429296    2.16187978     3000
T Epoch 0                 loss   -0.00396958   0.03761156   -0.04530191    0.24869399     3000
T Epoch 0            grad_norm    0.46968952   0.18896038    0.09637719    6.17542696     3000
T Epoch 0  sample_data_time/ms    1.56977478  18.18671444    0.05344398  407.70865200     3000
T Epoch 0  batch_learn_time/ms   59.38097075  12.44931064   56.92547600  733.71438199     3000
T Epoch 0       episode_length  163.16510454   1.44202830  160.00000000  164.00000000     5548
T Epoch 0       episode_return  -18.66780822  25.03730011  -93.00000000    2.00000000     5548
T Epoch 0       episode_time/s    0.88605361   0.23948729    0.76902378    4.94875717     5548
T Epoch 0     steps_per_second  187.83433291  17.05438912   32.53342056  213.18524170     5548
T Epoch 0          total_guess   19.78388609  27.83131635    0.00000000   97.00000000     5548
T Epoch 0         correct_rate    0.15345814   0.25696360    0.00000000    1.00000000     4079
T Epoch 0     cc_hunter_attack    8.01640231   5.09246704    0.00000000   15.00000000     5548
T Epoch 0                 time  217.27704261   0.00000000  217.27704261  217.27704261        1

[2022-05-12 15:34:50,350][root][INFO] - 

     info               key          mean         std           min           max    count
---------  ----------------  ------------  ----------  ------------  ------------  -------
E Epoch 0    episode_length  164.00000000  0.00000000  164.00000000  164.00000000      100
E Epoch 0    episode_return   -2.00000000  0.00000000   -2.00000000   -2.00000000      100
E Epoch 0    episode_time/s    0.66174606  0.01776187    0.51285082    0.68825078      100
E Epoch 0  steps_per_second  248.04971802  8.23627593  238.28523254  319.78109741      100
E Epoch 0       total_guess    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 0  cc_hunter_attack    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 0              time  253.32183422  0.00000000  253.32183422  253.32183422        1

[2022-05-12 15:37:56,165][root][INFO] - 

     info                  key          mean          std           min           max    count
---------  -------------------  ------------  -----------  ------------  ------------  -------
T Epoch 1               return   -0.13385160   0.01512607   -0.16876264   -0.10163245     3000
T Epoch 1         policy_ratio    1.00011395   0.00545573    0.98018754    1.01883650     3000
T Epoch 1          policy_loss    0.00008286   0.00587041   -0.01677317    0.03253853     3000
T Epoch 1           value_loss    0.00010234   0.00005829    0.00001771    0.00053760     3000
T Epoch 1              entropy    1.46391830   0.04405592    1.31501639    1.56275725     3000
T Epoch 1                 loss   -0.01450515   0.00588336   -0.03186574    0.01836633     3000
