[2022-12-17 12:46:31,217][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   24.33186657  7.14738921  -45.44154506   32.79850820     1000
sample             num_guess   34.70500000  1.40782634   31.00000000   43.00000000     1000
sample           num_correct   34.46200000  1.29559098   31.00000000   38.00000000     1000
sample          correct_rate    0.99328356  0.01835730    0.81395349    1.00000000     1000
sample              bandwith    0.21690625  0.00879891    0.19375000    0.26875000     1000
sample          max_autocorr    0.54857809  0.12830607    0.21951220    0.94701954     1000
sample      detect_rate-0.75    0.07000000  0.25514702    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99299813  0.00000000    0.99299813    0.99299813        1
sample      overall_bandwith    0.21690625  0.00000000    0.21690625    0.21690625        1

