[2022-05-12 15:33:04,057][root][INFO] - {"env_config": {"length_violation_reward": -2.0, "double_victim_access_reward": 0.0, "victim_access_reward": 0.0, "victim_miss_reward": 0.0, "correct_reward": 1.0, "wrong_reward": -1.0, "step_reward": 0.0, "cache_state_reset": false, "reset_observation": false, "verbose": 0, "force_victim_hit": false, "flush_inst": false, "allow_victim_multi_access": true, "allow_empty_victim_access": false, "attacker_addr_s": 4, "attacker_addr_e": 7, "victim_addr_s": 0, "victim_addr_e": 3, "reset_limit": 1, "cache_configs": {"architecture": {"word_size": 1, "block_size": 1, "write_back": true}, "cache_1": {"blocks": 4, "associativity": 1, "hit_time": 1, "rep_policy": "lru"}, "mem": {"hit_time": 1000}}, "window_size": 164, "episode_length": 160, "cc_hunter_check_length": 8, "threshold": 0.5, "cc_hunter_coeff": 100.0}, "model_config": {"latency_dim": 3, "victim_acc_dim": 2, "action_dim": 64, "step_dim": 164, "window_size": 164, "action_embed_dim": 16, "step_embed_dim": 4, "hidden_dim": 128, "output_dim": -1, "num_layers": 1}, "m_server_name": "m_server", "m_server_addr": "127.0.0.1:4411", "r_server_name": "r_server", "r_server_addr": "127.0.0.1:4412", "c_server_name": "c_server", "c_server_addr": "127.0.0.1:4413", "train_device": "cuda:0", "infer_device": "cuda:1", "num_train_rollouts": 24, "num_train_workers": 24, "num_eval_rollouts": 2, "num_eval_workers": 2, "replay_buffer_size": 131072, "prefetch": 2, "batch_size": 512, "lr": 0.0003, "learning_starts": 65536, "push_every_n_steps": 10, "num_epochs": 3000, "steps_per_epoch": 3000, "num_eval_episodes": 100, "train_seed": 123, "eval_seed": 456, "table_view": true}
[2022-05-12 15:36:50,121][root][INFO] - 

     info                  key          mean          std            min           max    count
---------  -------------------  ------------  -----------  -------------  ------------  -------
T Epoch 0               return   -0.83959802   0.33275961    -1.35894775   -0.44392186     3000
T Epoch 0         policy_ratio    1.00009049   0.00825087     0.96881920    1.03722072     3000
T Epoch 0          policy_loss   -0.00282117   0.00723682    -0.02735197    0.03479640     3000
T Epoch 0           value_loss    0.03643614   0.04629125     0.00430406    0.38911468     3000
T Epoch 0              entropy    1.82626638   0.23365902     1.45504129    2.14946604     3000
T Epoch 0                 loss   -0.00286577   0.02301022    -0.03717348    0.17389114     3000
T Epoch 0            grad_norm    0.39749243   0.16599204     0.09926805    4.32610178     3000
T Epoch 0  sample_data_time/ms    2.23870788  26.88320759     0.05790219  472.34686837     3000
T Epoch 0  batch_learn_time/ms   57.57721457  12.92137303    54.80618775  756.56529143     3000
T Epoch 0       episode_length  162.30558789   1.65293327   160.00000000  164.00000000     5154
T Epoch 0       episode_return  -45.92282034  29.50306842  -181.53323364   -0.57974702     5154
T Epoch 0       episode_time/s    0.92943855   0.20222924     0.76678079    4.14793491     5154
T Epoch 0     steps_per_second  177.75366842  16.93081507    38.72143173  210.29537964     5154
T Epoch 0          total_guess   28.69557625  24.84297352     1.00000000   95.00000000     5154
T Epoch 0         correct_rate    0.14674109   0.13525842     0.00000000    1.00000000     5154
T Epoch 0     cc_hunter_attack    3.60050446   3.53853554     0.00000000   15.00000000     5154
T Epoch 0                 time  212.09433926   0.00000000   212.09433926  212.09433926        1

[2022-05-12 15:37:28,170][root][INFO] - 

     info               key          mean         std           min           max    count
---------  ----------------  ------------  ----------  ------------  ------------  -------
E Epoch 0    episode_length  164.00000000  0.00000000  164.00000000  164.00000000      100
E Epoch 0    episode_return   -2.00000000  0.00000000   -2.00000000   -2.00000000      100
E Epoch 0    episode_time/s    0.69099077  0.01559462    0.60405660    0.72548646      100
E Epoch 0  steps_per_second  237.46591003  5.57548456  226.05522156  271.49774170      100
E Epoch 0       total_guess    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 0  cc_hunter_attack    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 0              time  250.14585583  0.00000000  250.14585583  250.14585583        1

[2022-05-12 15:40:26,366][root][INFO] - 

     info                  key          mean          std            min           max    count
---------  -------------------  ------------  -----------  -------------  ------------  -------
T Epoch 1               return   -0.58132944   0.06653952    -0.71530986   -0.44467568     3000
T Epoch 1         policy_ratio    1.00005371   0.00513084     0.97898829    1.02115774     3000
T Epoch 1          policy_loss    0.00031032   0.00532124    -0.02162483    0.02468253     3000
T Epoch 1           value_loss    0.01150340   0.00633935     0.00305901    0.04982644     3000
T Epoch 1              entropy    1.52367463   0.03680070     1.40590882    1.64956498     3000
T Epoch 1                 loss   -0.00917473   0.00617870    -0.03183137    0.02909242     3000
T Epoch 1            grad_norm    0.31786222   0.09147982     0.07253461    0.79598367     3000
T Epoch 1  sample_data_time/ms    1.77166570  21.50536243     0.05752966  354.38686796     3000
T Epoch 1  batch_learn_time/ms   56.57169513   1.80260236    54.63833176   67.26267375     3000
T Epoch 1       episode_length  162.95332330   1.48157619   160.00000000  164.00000000     4649
T Epoch 1       episode_return  -22.39708627  11.10494762  -110.00000000   -1.94818854     4649
T Epoch 1       episode_time/s    0.90390422   0.08131021     0.69555634    1.39958274     4649
T Epoch 1     steps_per_second  181.42877278  12.99454643   114.61632538  235.78248596     4649
T Epoch 1          total_guess    9.90664659   2.83531962     2.00000000   26.00000000     4649
T Epoch 1         correct_rate    0.21643803   0.13862370     0.00000000    1.00000000     4649
T Epoch 1     cc_hunter_attack    2.58657776   2.78170445     0.00000000   15.00000000     4649
T Epoch 1                 time  428.34163219   0.00000000   428.34163219  428.34163219        1

[2022-05-12 15:41:05,412][root][INFO] - 

     info               key          mean         std           min           max    count
---------  ----------------  ------------  ----------  ------------  ------------  -------
E Epoch 1    episode_length  164.00000000  0.00000000  164.00000000  164.00000000      100
E Epoch 1    episode_return   -2.00000000  0.00000000   -2.00000000   -2.00000000      100
E Epoch 1    episode_time/s    0.70776088  0.01729025    0.55563122    0.74255133      100
E Epoch 1  steps_per_second  231.88322525  6.85434779  220.86015320  295.15982056      100
E Epoch 1       total_guess    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 1  cc_hunter_attack    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 1              time  467.38811970  0.00000000  467.38811970  467.38811970        1

[2022-05-12 15:44:04,085][root][INFO] - 

     info                  key          mean          std            min           max    count
---------  -------------------  ------------  -----------  -------------  ------------  -------
T Epoch 2               return   -0.69373883   0.01902878    -0.76075858   -0.63792551     3000
T Epoch 2         policy_ratio    0.99987254   0.00456503     0.98182654    1.01512408     3000
T Epoch 2          policy_loss   -0.00021747   0.00510373    -0.01796103    0.02408696     3000
T Epoch 2           value_loss    0.01390326   0.00636824     0.00405779    0.05930883     3000
T Epoch 2              entropy    1.53069356   0.03639848     1.40817881    1.63519347     3000
T Epoch 2                 loss   -0.00857278   0.00583258    -0.02694393    0.02084469     3000
T Epoch 2            grad_norm    0.29511953   0.08499922     0.09092446    0.80654299     3000
T Epoch 2  sample_data_time/ms    2.06890250  24.68203773     0.05773269  417.22859256     3000
T Epoch 2  batch_learn_time/ms   56.43502980   1.62716844    54.62457053   67.32762419     3000
T Epoch 2       episode_length  162.83525888   1.49332772   160.00000000  164.00000000     4674
T Epoch 2       episode_return  -21.96124969  10.79269976  -108.00000000   -1.23007548     4674
T Epoch 2       episode_time/s    0.90472495   0.09093364     0.68808895    1.46425819     4674
T Epoch 2     steps_per_second  181.42948192  14.60358646   112.00210571  232.52807617     4674
T Epoch 2          total_guess    9.30979889   2.28983593     2.00000000   17.00000000     4674
T Epoch 2         correct_rate    0.22308084   0.14245868     0.00000000    1.00000000     4674
T Epoch 2     cc_hunter_attack    2.72443303   2.90930772     0.00000000   15.00000000     4674
T Epoch 2                 time  646.06136462   0.00000000   646.06136462  646.06136462        1

[2022-05-12 15:44:41,129][root][INFO] - 

     info               key          mean         std           min           max    count
---------  ----------------  ------------  ----------  ------------  ------------  -------
E Epoch 2    episode_length  164.00000000  0.00000000  164.00000000  164.00000000      100
E Epoch 2    episode_return   -2.00000000  0.00000000   -2.00000000   -2.00000000      100
E Epoch 2    episode_time/s    0.68605228  0.01547107    0.57741314    0.73760653      100
E Epoch 2  steps_per_second  239.18015945  5.85143614  222.34077454  284.02542114      100
E Epoch 2       total_guess    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 2  cc_hunter_attack    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 2              time  683.10646655  0.00000000  683.10646655  683.10646655        1

[2022-05-12 15:47:40,131][root][INFO] - 

     info                  key          mean          std            min           max    count
---------  -------------------  ------------  -----------  -------------  ------------  -------
T Epoch 3               return   -0.73725361   0.01709094    -0.80710614   -0.67673433     3000
T Epoch 3         policy_ratio    0.99983489   0.00488806     0.98266923    1.02089214     3000
T Epoch 3          policy_loss   -0.00033550   0.00527180    -0.01678947    0.03349148     3000
T Epoch 3           value_loss    0.01609487   0.00791139     0.00505393    0.06633677     3000
T Epoch 3              entropy    1.52621258   0.03768169     1.39326406    1.65690064     3000
T Epoch 3                 loss   -0.00755019   0.00632837    -0.02491768    0.02489875     3000
T Epoch 3            grad_norm    0.29502547   0.08997754     0.08121178    0.77259147     3000
T Epoch 3  sample_data_time/ms    2.07794806  25.51918428     0.05785562  507.55050592     3000
T Epoch 3  batch_learn_time/ms   56.54564330   1.65199785    54.69713546   64.47438709     3000
T Epoch 3       episode_length  162.95402299   1.46624203   160.00000000  164.00000000     4698
T Epoch 3       episode_return  -21.84340568  11.24237977  -107.21765137   -2.20942521     4698
T Epoch 3       episode_time/s    0.89964653   0.09204736     0.47098991    1.54971075     4698
T Epoch 3     steps_per_second  182.58281780  14.49219168   105.82619476  348.20278931     4698
T Epoch 3          total_guess    8.74499787   2.09636448     2.00000000   18.00000000     4698
T Epoch 3         correct_rate    0.23721504   0.14810082     0.00000000    0.85714287     4698
T Epoch 3     cc_hunter_attack    2.86398467   3.03513154     0.00000000   15.00000000     4698
T Epoch 3                 time  862.10776529   0.00000000   862.10776529  862.10776529        1

[2022-05-12 15:48:17,182][root][INFO] - 

     info               key          mean         std           min           max    count
---------  ----------------  ------------  ----------  ------------  ------------  -------
E Epoch 3    episode_length  164.00000000  0.00000000  164.00000000  164.00000000      100
E Epoch 3    episode_return   -2.00000000  0.00000000   -2.00000000   -2.00000000      100
E Epoch 3    episode_time/s    0.67944367  0.02040300    0.58037484    0.79818696      100
E Epoch 3  steps_per_second  241.59106384  7.29481942  205.46565247  282.57601929      100
E Epoch 3       total_guess    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 3  cc_hunter_attack    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 3              time  899.15760816  0.00000000  899.15760816  899.15760816        1

[2022-05-12 15:51:15,839][root][INFO] - 

     info                  key           mean          std            min            max    count
---------  -------------------  -------------  -----------  -------------  -------------  -------
T Epoch 4               return    -0.74513093   0.01603271    -0.81419158    -0.69290996     3000
T Epoch 4         policy_ratio     1.00001369   0.00512494     0.98133266     1.02137756     3000
