[2022-12-17 13:08:03,418][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   36.37200000  1.53154040   28.00000000   41.00000000     1000
sample             num_guess   36.58800000  1.20093963   33.00000000   41.00000000     1000
sample           num_correct   36.48000000  1.27812362   32.00000000   41.00000000     1000
sample          correct_rate    0.99706824  0.01381048    0.88888889    1.00000000     1000
sample              bandwith    0.22867500  0.00750587    0.20625000    0.25625000     1000
sample        cyclone_attack    0.89700000  0.30395888    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99704821  0.00000000    0.99704821    0.99704821        1
sample      overall_bandwith    0.22867500  0.00000000    0.22867500    0.22867500        1

