[2022-12-17 13:39:01,073][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   28.53900000  5.84366999  -74.00000000   33.00000000     1000
sample             num_guess   28.94100000  1.85621093   25.00000000   69.00000000     1000
sample           num_correct   28.89000000  1.34309344   25.00000000   33.00000000     1000
sample          correct_rate    0.99907118  0.01937604    0.43478261    1.00000000     1000
sample              bandwith    0.18088125  0.01160132    0.15625000    0.43125000     1000
sample        cyclone_attack    0.00300000  0.05469004    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99823779  0.00000000    0.99823779    0.99823779        1
sample      overall_bandwith    0.18088125  0.00000000    0.18088125    0.18088125        1

