[2022-12-17 12:46:44,938][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   27.61270112  4.03459108  -15.26372643   34.74344375     1000
sample             num_guess   35.08000000  1.32649915   31.00000000   40.00000000     1000
sample           num_correct   35.04600000  1.29995538   31.00000000   40.00000000     1000
sample          correct_rate    0.99907175  0.00538325    0.94444444    1.00000000     1000
sample              bandwith    0.21925000  0.00829062    0.19375000    0.25000000     1000
sample          max_autocorr    0.48580062  0.12729345    0.18948888    0.92068376     1000
sample      detect_rate-0.75    0.02500000  0.15612495    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99903079  0.00000000    0.99903079    0.99903079        1
sample      overall_bandwith    0.21925000  0.00000000    0.21925000    0.21925000        1

