[2022-12-17 12:19:45,352][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   35.49500000  1.57161541   29.00000000   40.00000000     1000
sample             num_guess   36.11900000  1.25651860   33.00000000   40.00000000     1000
sample           num_correct   35.80700000  1.32881564   32.00000000   40.00000000     1000
sample          correct_rate    0.99137847  0.01399282    0.89189189    1.00000000     1000
sample              bandwith    0.22574375  0.00785324    0.20625000    0.25000000     1000
sample          max_autocorr    0.93142467  0.05098767    0.73913043    1.00000000     1000
sample      detect_rate-0.75    0.99800000  0.04467662    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99136189  0.00000000    0.99136189    0.99136189        1
sample      overall_bandwith    0.22574375  0.00000000    0.22574375    0.22574375        1

