[2022-06-30 16:25:14,755][root][INFO] - {"env_config": {"length_violation_reward": -2.0, "double_victim_access_reward": 0.0, "victim_access_reward": 0.0, "victim_miss_reward": 0.0, "correct_reward": 1.0, "wrong_reward": -1.0, "step_reward": 0.0, "cache_state_reset": false, "reset_observation": false, "verbose": 0, "force_victim_hit": false, "flush_inst": false, "allow_victim_multi_access": true, "allow_empty_victim_access": false, "attacker_addr_s": 4, "attacker_addr_e": 7, "victim_addr_s": 0, "victim_addr_e": 3, "reset_limit": 1, "cache_configs": {"architecture": {"word_size": 1, "block_size": 1, "write_back": true}, "cache_1": {"blocks": 4, "associativity": 1, "hit_time": 1, "rep_policy": "lru"}, "mem": {"hit_time": 1000}}, "window_size": 164, "episode_length": 160, "cc_hunter_check_length": 8, "cyclone_collect_data": true, "cyclone_malicious_trace": false, "threshold": 0.5, "cyclone_coeff": 100.0}, "model_config": {"latency_dim": 3, "victim_acc_dim": 2, "action_dim": 64, "step_dim": 164, "window_size": 164, "action_embed_dim": 16, "step_embed_dim": 4, "hidden_dim": 128, "output_dim": -1, "num_layers": 1}, "m_server_name": "m_server", "m_server_addr": "127.0.0.1:4411", "r_server_name": "r_server", "r_server_addr": "127.0.0.1:4412", "c_server_name": "c_server", "c_server_addr": "127.0.0.1:4413", "train_device": "cuda:0", "infer_device": "cuda:1", "num_train_rollouts": 24, "num_train_workers": 24, "num_eval_rollouts": 2, "num_eval_workers": 2, "replay_buffer_size": 131072, "prefetch": 2, "batch_size": 512, "lr": 0.0003, "learning_starts": 65536, "push_every_n_steps": 10, "num_epochs": 3000, "steps_per_epoch": 3000, "num_eval_episodes": 100, "train_seed": 123, "eval_seed": 456, "table_view": true}
[2022-06-30 16:29:02,202][root][INFO] - 

     info                  key          mean          std            min           max    count
---------  -------------------  ------------  -----------  -------------  ------------  -------
T Epoch 0               return   -0.73908002   0.31810948    -1.26401353   -0.29735518     3000
T Epoch 0         policy_ratio    1.00017846   0.00825394     0.96146631    1.03875971     3000
T Epoch 0          policy_loss   -0.00414811   0.00926971    -0.04215124    0.03181990     3000
T Epoch 0           value_loss    0.07048265   0.03584787     0.00969194    0.28158581     3000
T Epoch 0              entropy    1.86226607   0.21208881     1.57831645    2.18011212     3000
T Epoch 0                 loss    0.01247056   0.02055854    -0.04447148    0.13421687     3000
T Epoch 0            grad_norm    0.43177233   0.18036178     0.10099240    4.77984190     3000
T Epoch 0  sample_data_time/ms    1.69556432  20.28862284     0.05239248  377.01132242     3000
T Epoch 0  batch_learn_time/ms   57.77398291  13.95046019    55.28252665  813.87735717     3000
T Epoch 0       episode_length  162.30984043   1.65450765   160.00000000  164.00000000     5264
T Epoch 0       episode_return  -31.19262918  33.82915314  -165.00000000    3.00000000     5264
T Epoch 0       episode_time/s    0.91772378   0.27945743     0.76939666    5.60836124     5264
T Epoch 0     steps_per_second  180.95046111  17.41664106    28.52883339  209.54238892     5264
T Epoch 0          total_guess   29.50417933  30.10841576     0.00000000  111.00000000     5264
T Epoch 0         correct_rate    0.13757245   0.15602846     0.00000000    1.00000000     5227
T Epoch 0       cyclone_attack    0.05547112   0.22889753     0.00000000    1.00000000     5264
T Epoch 0                 time  213.79446988   0.00000000   213.79446988  213.79446988        1

[2022-06-30 16:29:38,247][root][INFO] - 

     info               key          mean         std           min           max    count
---------  ----------------  ------------  ----------  ------------  ------------  -------
E Epoch 0    episode_length  164.00000000  0.00000000  164.00000000  164.00000000      100
E Epoch 0    episode_return   -2.00000000  0.00000000   -2.00000000   -2.00000000      100
E Epoch 0    episode_time/s    0.67460608  0.00734929    0.60888904    0.68745399      100
E Epoch 0  steps_per_second  243.13613831  2.87593215  238.56143188  269.34301758      100
E Epoch 0       total_guess    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 0    cyclone_attack    0.00000000  0.00000000    0.00000000    0.00000000      100
E Epoch 0              time  249.84094681  0.00000000  249.84094681  249.84094681        1

[2022-06-30 16:32:36,469][root][INFO] - 

     info                  key          mean          std            min           max    count
---------  -------------------  ------------  -----------  -------------  ------------  -------
T Epoch 1               return   -0.16676512   0.08226497    -0.39731157   -0.08149411     3000
T Epoch 1         policy_ratio    0.99954731   0.00580131     0.97680163    1.01937079     3000
T Epoch 1          policy_loss   -0.00055757   0.00843738    -0.02227699    0.16197872     3000
T Epoch 1           value_loss    0.01918236   0.03010961     0.00008015    0.17777139     3000
T Epoch 1              entropy    1.40153956   0.10380918     1.21814311    1.61065722     3000
T Epoch 1                 loss   -0.00498179   0.01656008    -0.03522411    0.17025551     3000
T Epoch 1            grad_norm    0.37545954   0.17401128     0.08080323    3.82842660     3000
T Epoch 1  sample_data_time/ms    2.14687376  26.88123341     0.05735084  520.85826918     3000
T Epoch 1  batch_learn_time/ms   56.27788543   1.21284728    54.96123619   62.52596155     3000
T Epoch 1       episode_length  163.73152082   0.87184829   160.00000000  164.00000000     4708
T Epoch 1       episode_return   -3.32285472   9.15333902  -108.00000000    2.00000000     4708
T Epoch 1       episode_time/s    0.89399458   0.09181700     0.75585502    1.52066338     4708
