[2022-12-17 12:11:33,535][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   35.75100000  1.56811957   31.00000000   41.00000000     1000
sample             num_guess   37.03700000  1.21063248   34.00000000   42.00000000     1000
sample           num_correct   36.39400000  1.28092310   33.00000000   41.00000000     1000
sample          correct_rate    0.98267342  0.01526977    0.94285714    1.00000000     1000
sample              bandwith    0.23148125  0.00756645    0.21250000    0.26250000     1000
sample          max_autocorr    0.93080451  0.04661817    0.77858293    1.00066138     1000
sample      detect_rate-0.75    1.00000000  0.00000000    1.00000000    1.00000000     1000
sample  overall_correct_rate    0.98263898  0.00000000    0.98263898    0.98263898        1
sample      overall_bandwith    0.23148125  0.00000000    0.23148125    0.23148125        1

